year_level,domain,count,mean,median,std,min,max,iqr
2,score_industry_trend,20,3.6833333333333336,3.5,0.920684972568495,2.6666666666666665,5.0,1.7500000000000004
2,score_job_readiness,20,3.175,3.125,0.8587782018658834,2.0,5.0,1.1875
2,score_soft,20,3.6375,3.5,0.7841983838692591,2.5,5.0,1.375
2,score_technical,20,3.425,3.5,0.7259295311602404,2.25,5.0,0.8125
3,score_industry_trend,20,3.9333333333333336,3.6666666666666665,0.8136266367896071,2.6666666666666665,5.0,1.3333333333333335
3,score_job_readiness,20,3.5625,3.5,0.8186759207145979,2.0,5.0,1.25
3,score_soft,20,3.9125,4.0,0.6702071557204887,2.5,4.75,1.0
3,score_technical,20,3.75,3.5,0.7565503427086868,2.5,5.0,0.8125
4,score_industry_trend,20,4.333333333333334,4.666666666666667,0.6924826089821244,3.3333333333333335,5.0,1.3333333333333335
4,score_job_readiness,20,4.075,4.25,0.7393987600177522,2.75,5.0,0.9375
4,score_soft,20,4.2875,4.5,0.5457672050474114,3.5,5.0,0.875
4,score_technical,20,4.2125,4.25,0.5975553266610989,3.25,5.0,1.125
