,year_level,count_yes,percentage_yes,item
0,2,8,40.0,i_have_a_portfolio_of_completed_projects_that_i_can_showcase_to_potential_employers
1,3,11,55.00000000000001,i_have_a_portfolio_of_completed_projects_that_i_can_showcase_to_potential_employers
2,4,16,80.0,i_have_a_portfolio_of_completed_projects_that_i_can_showcase_to_potential_employers
0,2,4,20.0,i_have_participated_in_hackathons_coding_competitions_or_related_extracurricular_activities_that_demonstrate_my_skills
1,3,6,30.0,i_have_participated_in_hackathons_coding_competitions_or_related_extracurricular_activities_that_demonstrate_my_skills
2,4,13,65.0,i_have_participated_in_hackathons_coding_competitions_or_related_extracurricular_activities_that_demonstrate_my_skills
0,2,9,45.0,i_have_obtained_certifications_or_badges_relevant_to_computer_science_or_technology
1,3,13,65.0,i_have_obtained_certifications_or_badges_relevant_to_computer_science_or_technology
2,4,12,60.0,i_have_obtained_certifications_or_badges_relevant_to_computer_science_or_technology
0,2,8,40.0,i_maintain_an_up_to_date_linkedin_profile_online_professional_presence_github_account_that_highlights_my_projects_and_skills
1,3,16,80.0,i_maintain_an_up_to_date_linkedin_profile_online_professional_presence_github_account_that_highlights_my_projects_and_skills
2,4,20,100.0,i_maintain_an_up_to_date_linkedin_profile_online_professional_presence_github_account_that_highlights_my_projects_and_skills
